Depth (ft),Weight on bit (k-lbs),Temperature Out (deg F),Temperature In(deg F),Pit Total (bbls),Pump Pressure (psi),Hook load (k-lbs),Surface Torque (psi),Rotary Speed (rpm),Flow In (gal/min),Flow Out Percentage (%),ROP (ft/hr)
1086.34,13.42,114.76,112.53,254.64,493.46,50.88,140.81,82.96,819.56,55.59,120.51
1087.37,11.11,114.8,112.53,254.64,498.41,53.19,135.78,86.75,803.18,55.45,120.5
1088.41,11.69,114.87,112.53,254.63,496.13,52.61,136.16,90.29,830.0,56.33,124.54
1089.45,13.71,114.87,112.53,254.68,496.51,50.59,141.91,83.85,837.99,55.62,120.5
1090.47,14.82,114.84,112.56,255.4,517.09,49.48,136.54,89.22,812.43,55.92,114.56
1091.49,15.4,114.87,112.56,255.42,521.67,48.9,142.71,87.14,797.89,57.47,99.03
1092.51,2.78,114.87,112.6,255.17,514.81,61.52,126.66,103.77,858.7,57.32,64.62
1093.52,15.03,114.87,112.6,255.42,525.1,49.27,135.7,91.14,843.76,56.06,43.62
1094.56,19.4,114.84,112.64,255.42,524.34,44.9,142.29,84.76,854.82,55.24,113.14
1095.67,20.92,114.84,112.64,255.42,521.29,43.38,152.4,91.45,855.03,56.71,117.93
1096.75,13.58,114.84,112.64,255.13,518.62,50.72,144.09,87.66,854.82,56.62,104.63
1097.79,15.44,114.87,112.64,255.42,518.24,48.86,153.27,80.46,837.21,55.92,103.62
1098.9,18.82,114.84,112.64,255.11,520.14,45.48,151.71,85.1,638.38,56.5,126.37
1099.94,13.83,114.87,112.64,254.96,520.14,50.47,154.49,80.07,746.9,55.94,133.31
1100.96,12.22,114.84,112.18,258.84,523.19,52.08,150.07,111.34,725.08,54.72,93.93
1101.99,16.59,114.76,112.22,259.01,528.53,47.71,151.83,106.18,738.38,54.95,143.55
1103.01,10.41,114.65,112.26,259.15,530.44,53.89,152.74,111.16,659.34,55.18,89.35
1104.05,10.41,114.57,112.3,259.38,530.44,53.89,171.19,82.6,583.37,54.77,115.2
1105.08,9.09,114.19,112.34,259.99,535.78,55.21,132.04,104.29,803.69,54.72,33.64
1106.1,17.91,114.15,112.34,259.98,533.49,46.39,152.82,92.64,903.81,54.33,164.14
1107.12,13.17,114.11,112.34,260.02,532.34,51.13,148.62,103.38,651.96,55.62,135.73
1108.18,10.0,114.19,112.34,260.68,535.78,54.3,128.19,95.44,819.86,57.76,105.62
1109.21,13.5,114.19,112.3,261.45,530.82,50.8,133.22,79.03,667.11,58.38,106.6
1110.27,11.19,114.23,112.3,261.79,532.34,53.11,132.31,96.24,747.38,58.26,152.1
1111.31,4.39,114.23,112.3,261.91,532.34,59.91,122.81,104.38,700.28,59.22,219.52
1112.38,8.72,114.26,112.26,261.91,534.63,55.58,125.52,103.53,725.67,58.55,110.62
1113.4,2.94,114.34,112.26,261.92,527.01,61.36,124.6,101.58,798.37,56.85,87.24
1114.46,13.09,114.38,112.26,261.92,531.2,51.21,133.56,89.28,899.72,57.32,127.09
1115.51,16.76,114.42,112.26,261.93,535.78,47.54,132.92,92.7,745.75,57.41,100.07
1116.63,17.71,114.42,112.26,261.91,533.87,46.59,131.54,93.64,623.3,57.23,143.18
1117.72,19.64,114.49,112.22,261.92,528.53,44.66,137.45,85.74,743.29,55.97,109.44
1118.85,19.31,114.57,112.26,261.92,530.44,44.99,130.09,96.24,861.64,51.52,101.96
1119.93,11.23,114.65,112.22,262.36,536.16,53.07,135.2,87.82,801.85,51.93,113.82
1120.96,8.8,114.72,112.26,263.0,528.15,55.5,122.58,100.87,886.42,52.23,30.6
1121.98,4.06,114.76,112.26,263.01,532.73,60.24,122.43,103.96,895.63,53.75,111.08
1123.0,7.32,114.76,112.26,263.01,523.96,56.98,133.72,89.95,869.42,56.44,118.26
1124.02,9.58,114.76,112.26,263.39,531.58,54.72,134.97,87.88,864.1,55.56,101.81
1125.06,8.47,114.8,112.3,263.29,527.77,55.83,138.1,87.02,862.66,56.41,98.26
1126.09,11.48,114.84,112.3,263.29,522.43,52.82,137.38,85.16,886.42,56.12,93.34
1127.11,13.01,114.87,112.34,263.29,531.2,51.29,137.68,85.71,866.76,56.03,122.23
1128.13,12.47,114.87,112.34,263.29,526.24,51.83,136.31,85.22,888.05,56.82,118.27
1129.17,11.89,114.84,112.34,263.28,522.43,52.41,134.52,86.78,866.38,56.68,120.48
1130.19,10.37,114.87,112.34,263.3,519.76,53.93,130.36,93.43,723.06,57.47,122.21
1131.2,7.81,114.87,112.34,263.29,523.58,56.49,131.28,93.89,764.01,57.91,126.81
1131.2,7.81,114.87,112.34,263.29,523.58,56.49,131.28,93.89,764.01,57.91,126.81
1132.22,9.21,114.76,111.65,265.55,567.04,55.09,128.57,87.6,641.64,53.57,62.8
1133.25,12.1,114.72,111.69,265.6,579.62,52.2,131.96,81.77,648.79,55.77,120.47
1134.27,13.17,114.76,111.73,265.58,573.14,51.13,133.6,74.6,639.58,55.83,118.27
1135.31,9.95,114.84,111.73,266.17,570.09,54.35,121.71,89.37,891.02,56.47,124.53
1136.33,9.58,114.8,111.76,266.26,567.42,54.72,129.98,78.91,817.71,56.53,122.17
1137.35,14.86,114.87,111.84,266.33,568.18,49.44,134.71,70.64,568.1,55.74,114.5
1138.36,9.79,114.84,111.88,266.14,564.75,54.51,132.5,88.33,893.67,55.56,122.21
1139.38,15.77,114.8,111.92,266.36,567.8,48.53,140.46,81.07,895.31,56.15,109.82
1140.42,11.69,114.76,111.95,266.38,568.18,52.61,141.27,81.13,897.56,54.74,100.93
1141.48,11.93,114.76,111.99,266.64,565.51,52.37,153.16,66.4,819.75,55.39,118.87
1142.51,17.79,114.72,112.03,266.66,566.28,46.51,148.05,88.43,666.99,54.48,84.81
1143.55,16.18,114.65,112.07,266.66,565.13,48.12,145.69,90.32,791.08,54.72,98.25
1144.57,13.87,114.57,112.11,266.95,564.37,50.43,144.58,90.41,782.69,54.33,111.09
1145.61,10.2,114.46,112.15,267.03,564.37,54.1,136.96,99.38,708.36,53.57,120.51
1146.64,12.72,114.3,112.15,267.27,563.23,51.58,139.97,95.26,786.37,53.4,120.51
1147.66,4.55,114.23,112.18,267.32,560.18,59.75,133.83,102.64,776.54,52.9,126.83
1148.68,16.92,114.23,112.18,267.31,565.13,47.38,148.78,87.11,877.29,53.49,111.06
1149.7,18.16,114.23,112.18,267.32,564.75,46.14,147.67,88.09,862.54,52.81,114.57
1150.74,10.12,114.34,112.18,267.33,563.99,54.18,139.55,97.46,857.83,53.57,113.19
1151.77,15.48,114.42,112.18,267.31,563.99,48.82,147.9,92.76,864.39,53.95,120.44
1152.79,11.4,114.46,112.22,267.31,568.56,52.9,137.76,92.39,892.85,55.77,122.21
1153.81,9.62,114.49,112.22,267.31,567.04,54.68,145.8,91.72,770.2,56.12,122.2
1154.83,10.61,114.57,112.26,267.31,566.28,53.69,134.59,92.51,844.12,55.77,120.48
1155.87,8.43,114.61,112.3,266.95,570.85,55.87,130.25,96.85,866.23,55.45,124.48
1156.92,8.51,114.61,112.3,266.7,566.66,55.79,135.05,96.02,813.41,56.18,122.66
1157.96,9.21,114.61,112.34,265.93,562.46,55.09,132.5,97.27,888.35,56.33,120.44
1158.98,15.64,114.65,112.37,265.88,562.46,48.66,135.66,95.35,850.05,55.77,118.21
1160.01,13.05,114.68,112.41,265.87,561.7,51.25,138.29,83.7,854.15,56.06,93.34
1161.03,12.47,114.68,112.41,265.87,565.13,51.83,143.51,77.72,858.25,55.59,115.24
1162.07,16.26,114.72,112.45,265.68,563.99,48.04,139.44,81.32,878.52,56.27,116.73
1163.09,13.83,114.99,112.49,262.45,521.29,50.47,135.39,71.68,857.2,54.19,100.0
1164.11,9.01,115.03,112.53,262.56,515.19,55.29,125.37,93.46,847.2,55.39,122.2
1165.13,14.04,115.03,112.56,262.58,514.04,50.26,140.92,69.75,846.18,54.01,96.4
1166.15,13.5,115.07,112.64,261.87,521.29,50.8,139.7,72.65,849.05,56.0,107.81
1167.17,20.02,115.07,112.68,261.73,513.66,44.28,143.74,89.52,844.54,54.54,87.23
1168.18,18.94,115.07,112.76,261.53,514.43,45.36,156.21,70.36,838.0,54.48,77.75
1169.2,18.33,115.07,112.79,261.52,514.43,45.97,155.22,89.49,842.3,52.02,101.82
1170.22,15.64,115.03,112.83,261.52,515.57,48.66,150.0,92.61,842.3,53.69,113.18
1171.26,19.6,114.99,112.87,261.25,513.66,44.7,154.95,86.84,842.71,53.98,106.7
1172.27,19.44,114.91,112.91,261.27,517.09,44.86,149.23,94.19,844.34,55.62,81.41
1173.29,19.44,114.87,112.95,261.36,515.57,44.86,154.27,90.2,844.14,55.15,70.42
1174.31,16.06,114.84,112.98,261.47,514.04,48.24,153.62,90.35,841.07,54.8,106.71
1175.35,16.35,114.8,113.02,261.11,516.33,47.95,156.44,87.69,841.27,56.06,109.85
1176.39,15.03,114.72,113.02,261.13,517.09,49.27,144.32,102.25,799.91,55.36,120.51
1177.4,15.48,114.65,113.06,261.16,516.33,48.82,155.87,87.97,842.7,55.86,122.23
1178.42,8.55,114.61,113.1,261.15,519.0,55.75,136.0,110.67,842.5,55.59,122.23
1179.46,8.92,114.57,113.1,261.16,522.43,55.38,133.49,113.08,841.69,56.56,120.51
1180.48,11.69,114.61,113.14,261.16,523.96,52.61,136.54,110.94,844.35,56.24,122.21
1181.5,7.52,114.68,113.14,261.16,515.19,56.78,134.67,112.04,796.84,56.38,122.2
1182.53,10.28,114.76,113.14,261.15,516.33,54.02,135.43,109.93,840.66,57.29,120.48
1183.55,13.87,114.8,113.1,260.87,519.76,50.43,141.91,104.2,682.38,57.47,122.23
1184.57,14.0,114.8,113.1,260.76,515.95,50.3,142.6,98.55,842.09,57.29,107.82
1185.59,12.39,114.87,113.14,260.85,516.71,51.91,138.48,108.23,826.94,56.74,118.27
1186.63,8.02,114.87,113.1,260.73,520.91,56.28,128.0,119.33,844.76,57.97,129.08
1187.65,11.97,114.91,113.14,260.56,518.62,52.33,133.95,112.5,632.83,57.15,118.26
1188.68,12.59,114.95,113.14,260.55,521.29,51.71,137.45,110.58,831.45,56.76,120.51
1189.7,10.86,114.95,113.14,260.54,519.38,53.44,131.47,110.36,839.44,55.62,122.17
1190.72,14.9,115.03,113.17,260.55,520.53,49.4,132.27,79.18,828.39,53.19,113.17
1191.74,14.82,115.03,113.17,260.55,519.0,49.48,134.36,86.75,823.47,54.39,101.81
1192.76,10.37,115.1,113.17,260.56,516.71,53.93,123.08,98.52,819.37,56.68,122.15
1193.77,16.06,115.1,113.21,260.55,519.0,48.24,135.85,88.94,731.73,56.3,120.45
1194.79,7.32,115.14,113.25,260.41,512.9,56.98,119.76,104.17,842.71,57.44,51.6
1195.8,14.78,115.45,113.02,257.84,548.74,49.52,140.69,82.35,858.25,60.16,95.77
1196.81,15.52,115.45,113.06,257.84,553.69,48.78,139.36,84.15,682.15,61.36,89.31
1197.85,18.33,115.48,113.1,257.61,549.88,45.97,145.0,85.22,757.71,60.98,81.15
1198.87,20.06,115.48,113.17,257.65,554.08,44.24,143.67,88.79,873.59,58.52,71.79
1199.89,21.67,115.79,113.25,257.8,555.6,42.63,151.98,78.17,872.17,59.11,57.23
1200.9,5.38,115.6,113.48,257.54,555.6,58.92,119.42,103.16,883.64,60.28,14.12
1201.92,12.43,115.45,113.37,257.44,554.84,51.87,132.15,84.03,701.6,60.34,79.63
1202.94,13.54,115.52,113.29,257.45,554.08,50.76,133.56,84.28,880.36,58.35,70.41
1203.95,8.51,115.56,113.29,257.46,550.26,55.79,124.83,94.5,831.22,59.02,107.81
1204.97,11.11,115.64,113.29,257.44,548.36,53.19,132.65,86.17,786.98,59.58,120.51
1206.01,11.85,115.68,113.29,256.9,547.21,52.45,128.26,88.12,770.81,59.2,120.51
1207.03,14.04,115.79,113.33,256.86,552.93,50.26,141.27,72.38,673.96,58.64,107.81
1208.05,14.45,115.87,113.29,256.86,552.17,49.85,139.47,76.89,815.66,59.25,101.79
1209.07,13.13,115.9,113.33,256.85,552.93,51.17,135.62,82.84,881.18,61.68,91.61
1210.08,18.04,116.02,113.33,256.84,549.5,46.26,139.93,77.66,876.26,58.61,55.48
1211.1,13.05,116.06,113.37,256.76,547.98,51.25,141.65,84.37,876.46,56.97,73.27
1212.16,14.2,116.06,113.4,256.69,553.69,50.1,142.1,84.12,878.31,54.89,122.74
1213.19,20.55,116.09,113.44,258.36,552.17,43.75,145.0,77.38,873.2,54.1,79.41
1214.21,20.92,116.17,113.4,258.08,549.12,43.38,149.08,74.67,869.3,54.51,74.72
1215.25,18.94,116.17,113.44,257.23,554.84,45.36,145.19,76.13,870.12,53.66,70.09
1216.27,19.36,116.21,113.48,256.84,544.16,44.94,144.96,75.25,863.16,54.83,85.16
1217.28,21.17,116.25,113.56,256.7,547.59,43.13,147.94,72.99,862.14,56.35,72.76
1218.3,19.89,116.29,113.59,256.05,543.78,44.41,144.05,77.69,860.5,57.73,84.8
1219.32,17.75,116.32,113.63,256.09,546.83,46.55,144.01,74.33,861.53,58.26,98.3
1220.35,20.18,116.32,113.71,256.05,542.64,44.12,141.3,75.79,857.43,58.32,83.93
1221.37,20.18,116.36,113.78,256.04,547.59,44.12,140.12,78.05,861.11,58.46,89.34
1222.39,20.35,116.36,113.82,255.77,546.45,43.95,144.12,74.02,859.68,67.73,89.19
1223.41,20.92,116.4,113.9,255.7,546.07,43.38,142.37,75.34,857.64,68.34,66.93
1224.44,23.31,116.44,114.01,255.72,544.93,40.99,146.26,72.26,857.84,68.99,74.67
1225.46,21.05,116.36,114.05,255.39,544.16,43.25,145.12,72.9,857.23,67.8,89.3
1226.48,20.35,116.29,114.17,255.66,542.26,43.95,144.51,76.31,857.23,67.66,62.07
1227.48,13.95,116.67,114.13,247.02,510.23,50.35,99.21,88.67,823.89,81.72,38.55
1228.5,14.0,116.74,114.09,247.03,502.99,50.3,101.84,82.84,827.08,80.95,69.1
1229.53,13.25,116.9,114.05,247.02,505.28,51.05,116.64,73.45,829.13,80.15,65.47
1230.55,14.33,116.78,114.09,247.01,509.47,49.97,138.02,89.89,835.88,80.23,67.85
1231.59,13.29,116.63,114.13,247.02,504.51,51.01,141.34,82.9,831.38,78.78,52.52
1232.6,14.41,116.59,114.17,247.07,504.13,49.89,133.07,92.76,830.15,77.57,56.31
1233.62,13.46,116.29,114.17,247.89,504.13,50.84,138.94,89.58,831.17,75.07,54.65
1234.64,20.18,115.98,114.2,248.14,501.08,44.12,147.37,78.69,825.24,73.1,71.81
1235.66,21.21,115.79,114.2,248.21,504.13,43.09,146.64,80.25,830.56,76.08,63.12
1236.67,21.46,115.83,114.2,248.06,506.42,42.84,158.08,73.17,831.38,77.53,93.23
1237.69,21.62,115.94,114.17,248.21,508.71,42.68,148.97,80.86,833.83,77.21,73.12
1238.71,23.27,116.02,114.13,248.19,504.13,41.03,192.77,76.95,822.23,77.09,83.24
1239.73,21.5,116.09,114.13,248.02,509.09,42.8,171.54,104.57,820.61,77.33,96.37
1240.76,21.38,116.13,114.13,248.12,501.46,42.92,168.26,94.44,815.29,78.01,116.73
1241.8,21.34,116.17,114.09,248.19,507.94,42.96,171.96,86.56,820.41,78.05,93.33
1242.84,21.17,116.21,114.09,248.19,508.33,43.13,180.11,83.18,821.02,76.84,109.84
1243.86,16.47,116.21,114.05,248.2,505.28,47.83,167.0,92.61,817.34,79.5,122.23
1244.87,21.21,116.29,114.05,248.06,505.66,43.09,174.85,88.27,819.18,80.39,111.08
1245.89,17.62,116.29,114.05,247.54,502.23,46.68,173.9,90.41,814.26,77.53,116.73
1246.93,20.96,116.32,114.05,248.14,502.61,43.34,170.35,91.51,815.69,76.12,109.85
1247.95,21.29,116.36,114.05,247.73,501.84,43.01,170.74,92.06,814.67,73.46,111.09
1248.97,22.2,116.4,114.05,248.02,504.51,42.1,176.38,89.22,816.31,74.15,114.56
1249.98,23.03,116.4,114.05,247.53,500.32,41.27,180.27,81.99,814.26,74.23,73.01
1251.0,22.94,116.48,114.01,247.23,505.66,41.36,172.18,88.27,815.49,77.29,71.77
1252.04,20.92,116.51,114.01,247.29,506.04,43.38,181.11,82.02,816.31,78.17,77.76
1253.05,22.24,116.55,114.01,247.31,504.13,42.06,171.69,87.66,815.9,80.99,101.81
1254.07,23.48,116.59,114.05,247.28,501.46,40.82,171.54,89.8,812.42,77.13,79.61
1255.11,22.12,116.59,114.01,246.94,503.37,42.18,182.21,81.84,813.04,76.84,100.93
1256.13,22.41,116.67,114.05,246.92,501.84,41.89,178.28,81.96,813.04,71.45,69.09
1257.14,23.11,116.7,114.05,246.91,502.23,41.19,176.95,91.11,811.81,71.97,60.03
1258.16,23.52,116.74,114.05,246.94,520.91,40.78,173.25,95.56,830.42,73.1,71.74
1259.16,16.06,117.01,113.82,243.61,591.06,48.24,162.88,86.14,876.94,87.47,57.97
1260.18,17.91,117.01,113.86,243.65,586.1,46.39,154.19,75.43,874.48,87.65,116.72
1261.2,18.61,116.93,113.86,243.51,588.01,45.69,172.57,81.53,876.11,86.86,87.24
1262.22,17.42,116.9,113.94,243.57,550.26,46.88,167.57,87.54,873.94,84.44,99.04
1263.26,18.33,116.82,113.94,244.23,548.36,45.97,170.35,86.69,860.5,83.35,113.18
1264.27,18.66,116.78,113.98,244.14,562.08,45.64,161.85,96.39,867.27,85.67,104.72
1265.31,16.43,116.74,114.01,244.21,552.93,47.87,159.11,98.86,866.65,85.41,93.35
1266.35,20.63,116.63,114.01,244.52,549.12,43.67,163.8,90.29,867.04,83.48,91.05
1267.39,18.7,116.51,114.01,244.75,546.45,45.6,174.62,82.23,864.18,84.84,103.72
1268.42,17.29,116.44,114.05,244.86,546.07,47.01,163.68,93.12,862.34,83.35,120.51
1269.44,18.41,116.36,114.09,244.88,546.45,45.89,155.37,101.88,865.61,85.19,122.21
1270.48,18.37,116.36,114.05,244.89,548.74,45.93,162.81,85.5,864.17,85.02,113.21
1271.52,18.28,116.36,114.09,244.84,550.64,46.02,166.28,80.68,865.2,85.54,116.73
1272.54,18.86,116.44,114.09,244.89,551.41,45.44,163.68,83.64,863.56,85.1,118.27
1273.55,20.68,116.48,114.09,245.11,551.41,43.62,167.76,79.82,863.97,84.14,122.21
1274.59,16.72,116.59,114.09,245.2,550.64,47.58,157.81,91.38,863.35,85.19,120.51
1275.63,12.22,116.63,114.09,244.97,544.93,52.08,158.19,90.93,859.66,85.15,120.5
1276.65,20.18,116.7,114.05,245.45,547.21,44.12,163.84,82.87,863.35,87.47,118.27
1277.67,16.92,116.74,114.09,245.22,545.31,47.38,161.74,85.77,861.71,85.41,104.73
1278.7,14.53,116.78,114.09,245.31,546.83,49.77,156.17,90.35,863.55,83.57,120.51
1279.72,18.94,116.82,114.05,245.56,548.36,45.36,169.55,76.4,862.94,79.53,122.23
1280.76,17.09,116.86,114.05,245.59,546.07,47.21,167.95,80.89,861.3,79.92,120.51
1281.78,20.88,116.9,114.09,245.6,547.98,43.42,167.69,78.75,862.32,82.47,115.27
1282.81,18.86,116.93,114.05,245.58,542.26,45.44,167.3,79.82,857.0,84.88,91.03
1283.83,17.87,117.01,114.09,245.59,544.16,46.43,150.26,96.88,859.66,86.46,85.18
1284.85,19.69,116.97,114.09,245.59,541.88,44.61,163.38,83.51,855.77,84.66,77.94
1285.87,19.27,117.01,114.09,245.59,545.31,45.03,164.67,82.66,858.84,85.45,89.36
1286.88,20.14,117.01,114.09,245.57,544.93,44.16,162.84,83.97,860.89,85.28,79.6
1287.92,17.09,117.05,114.13,245.57,539.97,47.21,159.37,87.48,862.32,86.16,100.92
1288.94,19.07,117.05,114.13,245.18,540.73,45.23,160.06,89.25,864.57,85.67,91.6
1289.96,17.01,117.09,114.17,245.07,541.11,47.29,160.82,86.32,863.75,86.42,114.57
1290.99,12.47,117.31,113.67,242.59,551.79,51.83,109.77,79.12,867.65,88.31,73.32
1292.02,14.08,117.31,113.71,242.58,554.08,50.22,133.07,85.28,867.86,85.19,109.85
1293.06,12.06,117.28,113.67,242.58,559.41,52.24,167.15,83.85,868.07,85.32,113.18
1294.1,16.18,117.24,113.71,242.58,556.36,48.12,167.34,76.86,867.86,80.67,95.73
1295.12,17.09,117.24,113.78,242.58,554.46,47.21,165.97,77.32,868.67,84.62,96.45
1296.15,8.3,117.16,113.78,242.58,555.6,56.0,172.41,81.56,867.24,84.53,95.73
1297.17,15.36,117.16,113.86,242.6,550.26,48.94,157.16,95.32,865.4,85.1,111.05
1298.19,10.37,117.05,113.86,242.45,557.51,53.93,159.76,78.94,871.13,84.27,85.23
1299.21,17.38,117.01,113.9,242.56,558.27,46.92,147.4,90.99,869.09,86.73,95.72
1300.22,16.72,116.86,113.98,242.57,556.74,47.58,147.4,91.17,869.7,86.33,85.17
1301.24,14.33,116.74,114.01,242.56,559.03,49.97,153.27,86.47,872.37,84.27,74.78
1302.26,19.48,116.67,114.01,242.6,559.03,44.82,160.71,78.51,870.52,85.06,116.4
1303.3,11.07,116.55,114.05,242.59,559.03,53.23,150.76,87.08,871.75,81.41,116.73
1304.32,16.06,116.44,114.05,242.59,556.74,48.24,155.98,78.81,871.34,81.77,114.55
1305.35,19.69,116.32,114.05,242.6,557.13,44.61,160.94,75.55,876.25,83.35,109.85
1306.37,6.99,116.25,114.05,242.63,555.98,57.31,137.57,102.19,875.64,84.01,122.21
1307.39,7.77,116.29,114.05,242.71,555.6,56.53,141.61,98.07,875.84,86.29,114.56
1308.43,10.66,116.32,114.05,242.74,552.17,53.64,141.04,97.33,875.22,86.29,120.51
1309.47,16.55,116.36,114.05,242.66,559.41,47.75,151.75,76.53,878.5,89.67,116.73
1310.48,8.22,116.4,114.01,242.69,557.13,56.08,136.54,90.62,878.09,86.29,118.26
1311.5,13.25,116.48,114.01,242.7,554.08,51.05,146.18,77.53,875.43,84.66,120.48
1312.52,18.08,116.51,114.01,242.8,553.69,46.22,151.33,75.52,874.81,83.04,118.28
1313.56,14.49,116.55,113.98,242.78,555.6,49.81,148.93,81.99,875.63,83.13,116.66
1314.58,15.23,116.63,114.01,242.73,555.22,49.07,148.51,91.14,874.6,80.01,111.1
1315.61,12.63,116.67,113.98,242.89,557.51,51.67,147.1,95.99,875.63,78.08,116.73
1316.63,13.25,116.7,113.94,242.74,554.46,51.05,177.26,53.25,872.15,80.36,93.96
1317.65,14.45,116.78,113.98,242.7,554.46,49.85,154.34,106.15,872.15,83.08,73.27
1318.69,13.75,116.82,113.98,242.66,551.03,50.55,146.72,92.06,868.26,82.64,79.41
1319.71,16.84,116.86,113.98,242.42,552.55,47.46,147.17,98.74,869.08,85.37,70.45
1320.72,12.55,116.9,113.98,242.31,554.08,51.75,140.85,102.98,870.51,86.77,59.24
1321.76,13.42,116.93,114.01,242.29,547.98,50.88,141.99,103.28,866.42,82.6,63.27
1322.76,14.02,117.24,114.09,239.45,538.06,50.28,138.37,92.67,837.79,81.72,89.05
1323.78,6.67,117.2,114.2,239.89,536.92,57.63,140.96,90.53,837.59,80.1,71.86
1324.89,8.71,117.09,114.39,239.37,536.16,55.59,148.74,77.44,836.77,79.97,38.92
1325.93,11.61,117.09,114.47,239.44,535.39,52.69,145.95,80.13,836.16,80.01,124.45
1326.95,10.74,117.01,114.55,239.88,540.73,53.56,141.88,85.04,840.86,80.23,73.26
1328.02,5.43,116.55,114.74,240.46,541.11,58.87,130.17,98.07,839.64,81.11,25.98
1329.06,12.52,116.48,114.78,240.66,536.54,51.78,140.62,94.1,837.38,80.41,106.65
1330.08,16.21,116.44,114.78,240.66,540.73,48.09,150.03,91.35,838.41,79.83,110.59
1331.11,18.79,116.48,114.81,240.76,538.44,45.51,154.23,90.38,836.97,80.49,116.63
1332.15,18.91,116.51,114.78,240.78,540.35,45.39,150.22,92.48,838.2,80.27,95.71
1333.17,10.07,116.63,114.81,240.79,537.68,54.23,158.15,81.56,836.36,79.4,107.76
1334.21,14.1,116.74,114.81,240.79,540.73,50.2,158.96,82.29,837.79,79.66,91.04
1335.22,15.67,116.78,114.81,240.79,544.16,48.63,164.14,77.05,839.63,78.69,107.76
1336.26,0.0,116.93,114.85,240.8,540.35,64.89,154.38,91.02,838.61,81.55,80.0
1337.28,10.16,116.97,114.85,240.96,538.44,54.14,147.56,94.59,835.34,81.94,73.1
1338.3,16.24,117.09,114.89,240.83,541.88,54.76,159.76,86.9,839.23,82.56,56.38
1339.31,20.47,117.16,114.89,240.89,539.21,50.53,163.91,86.93,836.77,81.81,71.84
1340.33,7.73,117.43,115.04,240.84,524.34,63.27,149.2,93.76,825.09,82.73,19.58
1341.37,20.55,117.54,115.2,240.81,528.15,50.45,154.27,91.69,826.72,82.6,29.15
1342.39,16.53,117.62,115.23,240.8,528.15,54.47,139.97,84.34,825.5,81.42,111.06
1343.42,17.48,117.66,115.23,240.81,533.11,53.52,141.99,86.08,828.16,82.73,177.75
1344.54,19.06,117.7,115.27,240.85,533.87,51.94,144.58,82.96,829.59,81.55,121.49
1345.55,20.13,117.77,115.31,240.98,528.15,50.87,157.77,66.09,824.27,80.67,101.75
1346.57,13.25,117.77,115.35,240.84,525.48,57.75,154.34,82.29,824.47,81.5,91.57
1347.63,9.02,117.92,115.27,240.17,529.68,61.98,150.19,93.25,828.37,84.36,22.24
1348.66,18.1,117.92,115.35,240.24,531.96,52.9,147.75,93.8,829.19,84.45,106.66
1349.7,22.5,118.0,115.39,239.86,530.82,48.5,151.83,90.5,826.94,83.39,109.79
1350.72,21.79,118.04,115.42,239.93,530.06,49.21,154.08,85.65,825.5,79.22,85.2
1351.79,8.19,118.12,115.58,239.86,538.06,62.81,79.46,80.83,838.78,80.45,80.0
1352.81,13.75,118.19,115.58,240.19,538.44,57.25,145.73,88.7,838.37,80.49,87.23
1353.83,19.6,118.15,115.61,240.16,541.11,51.4,143.51,97.55,840.42,82.65,73.08
1354.84,13.33,118.34,115.61,238.56,540.35,57.67,134.48,77.99,830.22,89.56,24.14
1355.86,17.19,118.42,115.69,238.55,541.11,53.81,141.04,86.99,829.61,88.02,57.25
1356.88,14.0,118.42,115.73,238.55,540.73,57.0,142.41,94.44,828.79,87.58,85.19
1357.93,25.69,118.42,115.77,238.54,542.26,45.31,156.17,85.47,830.22,87.98,131.34
1358.97,22.87,118.42,115.84,238.54,544.16,48.13,160.21,82.45,831.45,86.4,63.26
1359.99,22.37,118.42,115.88,238.94,541.49,48.63,165.25,80.22,828.79,84.55,67.83
1361.06,21.84,118.46,115.96,238.76,543.02,49.16,154.46,89.83,830.22,84.77,72.94
1362.08,25.98,118.42,116.0,238.6,535.39,45.02,147.94,94.25,824.9,85.21,91.57
1363.1,26.19,118.38,116.03,238.55,538.83,44.81,154.42,88.85,825.92,85.52,94.41
1364.11,20.96,118.42,116.07,238.55,540.35,50.04,150.8,90.32,824.9,85.52,110.23
1365.19,22.13,118.38,116.11,238.55,542.64,48.87,153.66,98.22,828.17,86.57,79.0
1366.23,11.84,118.31,116.15,238.6,540.35,59.16,145.99,101.85,828.58,88.15,124.41
1367.24,13.66,118.34,116.26,239.33,550.26,57.34,139.47,104.72,836.35,87.93,22.75
1368.26,19.06,118.38,116.34,239.4,544.16,51.94,142.6,95.41,837.14,87.89,82.93
1369.28,9.81,118.5,116.38,239.34,550.26,61.19,126.17,95.6,840.62,88.24,57.22
1370.32,11.09,118.65,116.42,239.03,552.17,59.91,125.29,92.12,842.45,86.92,28.88
1371.33,16.61,118.69,116.45,239.24,546.45,54.39,140.08,74.91,839.18,87.32,104.69
1372.37,21.88,118.69,116.42,239.36,545.31,49.12,139.21,80.52,837.75,87.89,135.84
1373.43,24.99,118.8,116.45,239.67,550.64,46.01,148.13,71.25,840.62,86.7,92.72
1374.46,18.77,118.8,116.45,239.68,549.88,52.23,134.4,86.5,839.18,86.57,77.75
1374.46,18.77,118.8,116.45,239.68,549.88,52.23,134.4,86.5,839.18,86.57,77.75
